Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,63,30596,20959,8562,405,5582,748,4055,23839,259,2147
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine,63,30596,20959,8562,405,5582,748,4055,23839,259,2147
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Dependencies,5,26291,17743,6454,0,4611,739,3937,23423,259,2147
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Dependencies\GLEW,3,22593,17232,6317,0,4420,720,941,6218,205,1785
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Dependencies\GLEW\include,3,22593,17232,6317,0,4420,720,941,6218,205,1785
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Dependencies\GLFW,2,3698,511,137,0,191,19,2996,17205,54,362
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Dependencies\GLFW\include,2,3698,511,137,0,191,19,2996,17205,54,362
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source,58,4305,3216,2108,405,971,9,118,416,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Assets,1,16,11,6,0,5,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics,37,2334,1679,1078,182,553,7,102,356,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Buffers,7,336,244,159,28,86,0,6,18,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Colors,3,322,250,131,40,72,1,0,1,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Layers,4,113,84,55,4,29,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Models,2,49,37,8,0,12,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Rendering,7,474,304,216,10,83,0,87,286,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Shaders,2,150,114,87,6,36,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Sprites,2,30,21,12,0,9,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Textures,6,577,413,260,64,159,6,5,39,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Vertex,2,81,56,32,4,25,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Maths,10,907,690,447,97,212,0,5,20,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\System,1,17,13,4,0,4,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Utils,7,854,681,475,115,172,2,1,4,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Utils\Loaders,2,88,73,53,8,15,0,0,0,0,0
